event_id,event_type,status,broker,account_alias,confirmation_id,trade_date,settlement_date,symbol,side,quantity,average_price,fees,gross_amount,net_cash_effect,currency,source,created_at,notes
2026-05-30-deposit-001,deposit,confirmed,Charles Schwab International,satellite,user-confirmed-2026-05-30-888-deposit,2026-05-30,2026-05-30,,,,,0.00,888.00,888.00,USD,user_confirmed_goal,2026-05-30T10:29:51+08:00,User confirmed USD 888 deposit available in the brokerage account.
2026-06-05-buy-asts-001,trade,confirmed,Charles Schwab International,satellite,screenshot-2026-06-05-001,2026-06-05,2026-06-08,ASTS,buy,1,103.19,0.00,103.19,-103.19,USD,user_confirmed_screenshot,2026-06-05T21:40:04+08:00,User confirmed filled buy order from redacted screenshot evidence; raw screenshot is not committed.
2026-06-05-buy-rklb-001,trade,confirmed,Charles Schwab International,satellite,screenshot-2026-06-05-001,2026-06-05,2026-06-08,RKLB,buy,3,117.68,0.00,353.04,-353.04,USD,user_confirmed_screenshot,2026-06-05T21:40:04+08:00,User confirmed filled buy order from redacted screenshot evidence; raw screenshot is not committed.
2026-06-12-deposit-001,deposit,confirmed,Charles Schwab International,satellite,user-confirmed-2026-06-12-888-deposit,2026-06-12,2026-06-12,,,,,0.00,888.00,888.00,USD,user_confirmed_default_deposit,2026-06-13T07:14:40+08:00,User confirmed USD 888 deposit available in the brokerage account; default deposit fields used per execution-confirmation template.
2026-06-12-buy-asts-001,trade,confirmed,Charles Schwab International,satellite,screenshot-2026-06-12-asts-001,2026-06-12,2026-06-15,ASTS,buy,2,84.2367,0.00,168.47,-168.47,USD,user_confirmed_screenshot,2026-06-13T07:14:40+08:00,"User confirmed filled buy order from redacted screenshot evidence; raw screenshots are not committed; fill summary: 2 @ 84.2367 limit 84.30 Day+Ext."
2026-06-12-buy-rklb-001,trade,confirmed,Charles Schwab International,satellite,screenshot-2026-06-12-rklb-001,2026-06-12,2026-06-15,RKLB,buy,6,105.3901,0.00,632.34,-632.34,USD,user_confirmed_screenshot,2026-06-13T07:14:40+08:00,"User confirmed filled buy orders from redacted screenshot evidence; raw screenshots are not committed; fill summary: 2 @ 104.3202 limit 104.33 Day+Ext; 1 @ 103.96 limit 103.96 Day+Ext; 1 @ 106.58 limit 108.00 Day; 2 @ 106.58 limit 107.00 Day."
2026-06-18-deposit-001,deposit,confirmed,Charles Schwab International,satellite,user-confirmed-2026-06-18-888-deposit,2026-06-18,2026-06-18,,,,,0.00,888.00,888.00,USD,user_confirmed_default_deposit,2026-06-18T12:29:09+08:00,User confirmed an additional USD 888 deposit available in the brokerage account; default deposit fields used per execution-confirmation template.
2026-06-22-buy-asts-001,trade,confirmed,Charles Schwab International,satellite,screenshot-2026-06-22-asts-001,2026-06-22,2026-06-23,ASTS,buy,4,74.1118,0.00,296.45,-296.45,USD,user_confirmed_screenshot,2026-06-23T08:53:53+08:00,"User confirmed filled buy order from redacted screenshot evidence; raw screenshots and full order numbers are not committed; fill summary: 4 @ 74.1118 limit 74.14 Day Only; filled 10:31 AM ET 2026-06-22."
2026-06-22-buy-rklb-001,trade,confirmed,Charles Schwab International,satellite,screenshot-2026-06-22-rklb-001,2026-06-22,2026-06-23,RKLB,buy,4,97.30,0.00,389.20,-389.20,USD,user_confirmed_screenshot,2026-06-23T08:53:53+08:00,"User confirmed filled buy order from redacted screenshot evidence; raw screenshots and full order numbers are not committed; fill summary: 4 @ 97.30 limit 97.30 Day Only; filled 10:31 AM ET 2026-06-22."
2026-07-08-deposit-001,deposit,confirmed,Charles Schwab International,satellite,user-confirmed-2026-07-08-888-deposit,2026-07-08,2026-07-08,,,,,0.00,888.00,888.00,USD,user_confirmed_default_deposit,2026-07-08T09:25:43+08:00,User confirmed an additional USD 888 deposit available in the brokerage account; default deposit fields used per execution-confirmation template.
2026-07-08-buy-asts-001,trade,confirmed,Charles Schwab International,satellite,screenshot-2026-07-08-asts-001,2026-07-08,2026-07-09,ASTS,buy,4,74.25,0.00,297.00,-297.00,USD,user_confirmed_screenshot,2026-07-09T09:16:20+08:00,"User confirmed filled buy order from redacted screenshot evidence; raw screenshots and full order numbers are not committed; fill summary: 4 @ 74.25 limit 74.31 Day Only; filled 12:06 PM ET 2026-07-08."
2026-07-08-buy-rklb-001,trade,confirmed,Charles Schwab International,satellite,screenshot-2026-07-08-rklb-001,2026-07-08,2026-07-09,RKLB,buy,4,81.6828,0.00,326.73,-326.73,USD,user_confirmed_screenshot,2026-07-09T09:16:20+08:00,"User confirmed filled buy order from redacted screenshot evidence; raw screenshots and full order numbers are not committed; fill summary: 4 @ 81.6828 limit 81.71 Day Only; filled 12:06 PM ET 2026-07-08."
