review_id,as_of,lookback_start,lookback_end,decision_or_scan_path,missed_candidates,overconservative_calls,overaggressive_calls,community_leads_not_skimmed,process_lesson,durable_change_path,notes
2026-06-07-macro-system-upgrade,2026-06-07,2026-05-26,2026-06-07,research/process/2026-06-07-macro-regime-system-upgrade.md,not_reviewed,not_reviewed,not_reviewed,not_reviewed,Add a recurring retrospective surface so missed candidates and overly tight or loose entry discipline are audited instead of discussed informally,research/process/decision-retrospectives.csv,Seed row records the new mechanism; future rows should be completed after decisions have enough elapsed evidence.
2026-07-11-full-cycle-retrospective,2026-07-11,2026-07-08,2026-07-11,decisions/2026-07-11-monthly-decision.md,"MDA GILT IQMX NNE HQ NUCL QBTS and QUBT were previously visible in broad scans but had not completed material dashboard readiness","The prior watch-only treatment of LEU became too conservative after the DOE contract and is corrected by promotion without forcing a buy","The 2026-07-08 staged RKLB and ASTS additions were not invalid but left the account 53.83 percent concentrated before a large RKLB ownership event emerged",none,"Full cycles must supplement the SEC event selector with ownership compensation and private-offering forms and must finish readiness for repeated material scan leads",research/process/2026-07-11-full-cycle-self-improvement.md,"The current cycle completed the missed candidate work froze BE promoted LEU and responded to concentration by holding cash rather than repeating contribution-driven adds."
2026-07-18-full-cycle-retrospective,2026-07-18,2026-07-16,2026-07-18,decisions/2026-07-18-monthly-decision.md,"SEI had appeared as an exploratory match for weeks without a readiness disposition; STDN's not-tradable status became stale after its first closes","No prior no-buy call became too conservative after current evidence; SEI reached watch only after completing reachable research","No prior buy was repeated despite price declines and current holdings remain below the prior peak concentration",none,"Independent bottleneck review must explicitly disposition repeated exploratory matches and filing selection must preserve a material original when a same-day amendment follows it",research/discovery/runs/2026-07-18-full-cycle-decision.yml,"The current cycle closed the SEI gap, refreshed STDN tradability, repaired and tested amendment-aware selection, and retained cash without weakening buy gates."
2026-07-12-coverage-and-rendering-retrospective,2026-07-12,2026-07-11,2026-07-12,decisions/2026-07-12-monthly-decision.md,"RGTI SMR and AAOI were direct same-lane comparators missing from durable research surfaces despite being discoverable from the current bottleneck map","No prior buy was missed after current primary-source and valuation review; cash discipline remains appropriate","No prior call became clearly overaggressive; current holdings remain thesis-intact but concentrated",none,"Full cycles must reconcile discovery candidate status with readiness and watchlist state, generate current buy-zone rows for every active symbol, keep historical scan validation independent of today's lane-map hash, and explicitly resize chart canvases on mobile",research/discovery/runs/2026-07-12-full-cycle-decision.yml,"The cycle completed three readiness sprints, repaired MDA and GILT status drift, added current all-active buy-zone rows, fixed historical artifact validation, and fixed mobile chart clipping."
2026-07-13-data-integrity-and-discovery-retrospective,2026-07-13,2026-07-12,2026-07-13,decisions/2026-07-13-monthly-decision.md,"INFQ was a direct quantum sensing and resilient-PNT public comparator missing from the prior durable universe","Waiting for the complete LEU contract remains appropriate after correcting the understated basic capitalization","The prior private LEU staging case relied on a materially understated market-cap input and is superseded by the completed no-action decision",none,"Full cycles must reject incomplete current-session daily bars, distinguish exact filing-cover shares from weighted-average and diluted shares, and challenge the broad scan with independent bottleneck review so technically named candidates are not missed",research/discovery/runs/2026-07-13-full-cycle-decision.yml,"The cycle added a market-session completion test, a source-linked share-count override, full INFQ readiness, and a no-trade conflict resolution."
2026-07-14-issuer-and-capitalization-retrospective,2026-07-14,2026-07-13,2026-07-14,decisions/2026-07-14-monthly-decision.md,WULF IMSR and POET were material direct lane comparators without complete durable research coverage; VRT IMSR and POET issuer releases were missing from the first freshness pass,No prior buy was missed after completing the reachable evidence; cash discipline remains appropriate,No prior call became clearly overaggressive; existing RKLB and ASTS remain thesis-intact but concentrated,none,"Full cycles need issuer-news review beyond selected SEC events, economic-share overrides when generic facts understate capitalization, and one fixed SEC ticker snapshot across multi-stage index generation",research/discovery/runs/2026-07-14-full-cycle-decision.yml,"The cycle completed three readiness sprints, classified missed issuer evidence, corrected ASTS revenue and multiple share counts, and resolved the MDA conflict to no trade."
2026-07-16-independent-bottleneck-and-fallback-retrospective,2026-07-16,2026-07-14,2026-07-16,decisions/2026-07-16-monthly-decision.md,"STDN CIFR and OCC were material bottleneck comparators absent from the prior durable research universe; ASTS priced terms were available after the first filing pass","No prior buy was missed after completing reachable research; cash discipline remains appropriate","No prior call became clearly overaggressive; current holdings remain thesis-intact but concentrated",none,"Full cycles must challenge deterministic candidates with independent bottleneck review and propagate completed-close fallback data through price history technical valuation and equity-curve surfaces",research/discovery/runs/2026-07-16-full-cycle-decision.yml,"The cycle completed three readiness sprints, reran the broad and targeted scans against the current lane map, incorporated ASTS pricing and GILT orders, and resolved every positive delta to no action under entry and concentration gates."
2026-07-21-daily-cycle-retrospective,2026-07-21,2026-07-19,2026-07-21,decisions/2026-07-21-daily-operating-cycle.md,XTND would have been missed without exact-date registration and transaction review,No prior buy was missed because all current quantities remain zero,No prior call became clearly overaggressive because no promotion or purchase occurred,39 of 46 public community sources failed and produced no symbol lead,Normalize compact SEC daily-index dates and reconcile targeted one-row-per-symbol profiles against live all-form submissions before claiming filing completeness,research/discovery/runs/2026-07-21-registration-transaction-candidates.json,"The regression test covers compact SEC dates; the cycle preserves targeted versus all-form versus full-universe coverage boundaries and completes QTEX ALP and XTND dispositions."
2026-07-22-coverage-and-market-preservation-retrospective,2026-07-22,2026-07-21,2026-07-22,decisions/2026-07-22-daily-operating-cycle.md,"ENRD had completed a Nasdaq listing but remained absent from durable coverage; UEC repeatedly appeared in scans without a current primary-source disposition","No prior buy was missed after ENRD and UEC readiness; every current quantity remains zero","No prior call became clearly overaggressive; RKLB and ASTS remain thesis-intact but concentrated",39 of 46 public community sources failed and produced no symbol lead,"Full cycles must reconcile proposed listings against current exchange and issuer evidence, and a partial provider failure must preserve previously valid market rows rather than deleting uncovered symbols",scripts/market-data-merge-lib.mjs,"The cycle added ENRD research-only coverage, rejected UEC after readiness, explicitly rejected GOWell and XLAB from ongoing coverage, preserved prior market rows under partial refresh failure, and retained cash."
2026-07-23-deposit-and-acquisition-retrospective,2026-07-23,2026-07-22,2026-07-23,decisions/2026-07-23-monthly-decision.md,"ENRD's Flipturn agreement appeared after its initial readiness cutoff and required a separate capitalization review; the additional confirmed cash changed concentration but not issuer eligibility","No prior buy was missed; the new cash reduces marked space concentration while all current quantities remain zero","No prior call became clearly overaggressive; the confirmed holdings remain thesis-intact and no new trade is proposed",35 lane-keyword signals and zero symbol leads from degraded public-source access,"A clean evidence gate must be rebuilt after late material transactions and account changes; liquidity changes require full reallocation review but do not waive issuer evidence or entry gates",research/filings/2026-07-23-MATERIAL-FILING-REFRESH.md,"The cycle reviewed the ENRD acquisition, rejected ELPW and KIDZ registration leads, refreshed every completed close, reconciled all 52 watchlist symbols and retained cash."
