transition_id,symbol,decided_at,from_status,to_status,from_priority,to_priority,trigger_type,source_path,subagent_review_path,xhigh_roles_completed,unresolved_conflicts,mission_gate,evidence_gate,entry_gate,survival_gate,opportunity_cost_gate,thesis_delta,entry_delta,priority_delta,opportunity_cost_delta,buy_zone_status,same_lane_comparison,ranking_vs_current_core,decision_reason,next_review_trigger
2026-05-31-rklb-core-confirmed,RKLB,2026-05-31,active_core_candidate,active_core_candidate,A,A,status_confirmed,research/promotion/2026-05-31-active-universe-promotion-review.md,decisions/2026-05-31-monthly-decision.md,evidence_freshness;valuation_entry;bull_case;bear_case;opportunity_cost_allocation,0,pass,pass,pass_for_staged_entry,pass,pass,strengthened,fair_but_not_cheap,core_status_confirmed,still_leads_space_infrastructure,in_buy_zone,space_infrastructure peers reviewed against ASTS LUNR KTOS RDW FLY,highest-ranked execution-led space infrastructure candidate,"Remains the strongest execution-led public space infrastructure platform; core status retained but buying must stay staged because valuation and dilution risk remain material.",next earnings or Neutron update
2026-05-31-asts-core-confirmed,ASTS,2026-05-31,active_core_candidate,active_core_candidate,A,A,status_confirmed,research/promotion/2026-05-31-active-universe-promotion-review.md,decisions/2026-05-31-monthly-decision.md,evidence_freshness;valuation_entry;bull_case;bear_case;opportunity_cost_allocation,0,pass,pass,pass_for_small_staged_entry,uncertain_high_risk,pass,strengthened,fair_but_binary,core_status_confirmed,top_convexity_but_smaller_size,in_buy_zone,direct-to-device peers reviewed against GSAT and future SPACEX,highest-ranked direct-to-device convexity candidate,"Retains core status because direct-to-device upside is unusually convex, but survival and execution risk require smaller staged sizing.",next launch/regulatory/commercial update
2026-05-31-crdo-core-confirmed,CRDO,2026-05-31,active_core_candidate,active_core_candidate,A-,A-,status_confirmed,research/promotion/2026-05-31-active-universe-promotion-review.md,decisions/2026-05-31-monthly-decision.md,evidence_freshness;valuation_entry;bull_case;bear_case;opportunity_cost_allocation,0,pass,pass,fail_for_current_buy_zone,pass,pass,strengthened,too_expensive,core_research_status_confirmed,high_quality_but_not_buy_zone,not_in_buy_zone,AI interconnect peers reviewed against ALAB and MU,top AI interconnect quality candidate but below RKLB and ASTS for first-deposit entry,"Retains active core research status because evidence quality is high, but current valuation prevents buy-zone status.",next quarterly result or customer concentration disclosure
2026-05-31-alab-active-confirmed,ALAB,2026-05-31,active_candidate,active_candidate,A-,A-,status_confirmed,research/promotion/2026-05-31-active-universe-promotion-review.md,decisions/2026-05-31-monthly-decision.md,evidence_freshness;valuation_entry;bear_case;opportunity_cost_allocation,0,pass,pass,fail_for_current_buy_zone,pass,watch,strengthened,too_expensive,active_status_confirmed,below_crdo_for_entry,not_in_buy_zone,AI rack-scale connectivity compared against CRDO and MU,active candidate but not superior to current core candidates for entry,"Remains active because the bottleneck exposure is high quality, but valuation and hyperscaler concentration keep it below core buy-zone ranking.",next quarterly result or design-win update
2026-05-31-vrt-active-confirmed,VRT,2026-05-31,active_candidate,active_candidate,A-,A-,status_confirmed,research/promotion/2026-05-31-active-universe-promotion-review.md,decisions/2026-05-31-monthly-decision.md,evidence_freshness;valuation_entry;bear_case;opportunity_cost_allocation,0,pass,pass,not_preferred_for_satellite_entry,pass,watch,confirmed,fair_but_mature,active_status_confirmed,lower_extreme_upside_than_space_core,trigger_only,AI power and cooling compared against BE OKLO LEU,stronger evidence than power peers but lower asymmetry than RKLB or ASTS,"Remains active because evidence quality is strong, but scale and lower extreme-upside asymmetry keep it below RKLB and ASTS for this satellite account.",next order/backlog/liquid-cooling update
2026-06-12-spcx-public-watch,SPCX,2026-06-12,not_tradable,watch,watch_future,B+,public_listing_status_change,research/discovery/readiness/2026-06-12-SPCX-readiness.md,research/discovery/runs/2026-06-12-subagent-evidence-packet.yml,evidence_freshness;valuation_entry;bear_case;opportunity_cost_allocation,0,pass,pass,fail_current_entry_gate,too_uncertain,watch,new_public_security_but_not_buy_ready,too_uncertain,promote_to_watch,raises_opportunity_cost_for_RKLB_ASTS,not_in_buy_zone,cross-lane public proxy compared against RKLB ASTS CRWV NBIS IREN and cash,watch-only below current buy candidates,"SPCX is now public and material, but first-day mega-cap valuation, controlled-company governance, xAI/X losses, stock-funded transaction capacity, and IPO volatility block active-candidate or buy-zone status.",post-IPO trading stabilization underwriter option lockup float first public quarterly report or price dislocation
2026-07-11-leu-active-candidate,LEU,2026-07-11,watch,active_candidate,B-,B+,material_contract_and_promotion_review,research/promotion/2026-07-11-LEU-and-BE-status-review.md,research/discovery/runs/2026-07-11-full-cycle-decision.yml,evidence_freshness;valuation_entry;bull_case;bear_case;opportunity_cost_allocation,0,pass,pass,fail_until_full_contract_terms,pass,pass,materially_strengthened,attractive_but_incomplete_fixed_price_economics,promote_to_active_candidate,highest_quality_nonholding_but_not_superior_to_cash_today,no_buy_until_new_evidence,nuclear peers reviewed against OKLO NNE NUCL FNUC and cash,highest-ranked nonholding but below cash on current risk-adjusted entry,"The DOE award makes LEU a genuine strategic fuel-bottleneck candidate, but fixed-price milestone economics, termination terms, TENEX exposure, expansion capital, debt, and dilution prevent a buy before the full contract is filed.",next 10-Q full DOE contract attachment milestone and cost-sharing terms TENEX update financing plan or price dislocation
2026-07-11-be-frozen,BE,2026-07-11,watch,frozen,B,B-,critical_accounting_and_supply_chain_dispute,research/promotion/2026-07-11-LEU-and-BE-status-review.md,research/filings/2026-07-11-MATERIAL-FILINGS-REFRESH.md,evidence_freshness;valuation_entry;bear_case;opportunity_cost_allocation,0,pass,fail_unresolved_claims,fail,pass,fail,materially_weakened,too_expensive_and_too_uncertain,freeze,below_cash_and_all_active_candidates,no_buy_until_new_evidence,onsite power compared against VRT ETN PWR and cash,frozen below current active universe,"Bloom's response denies the short report but does not provide a quantitative supply or accounting reconciliation; its own 10-Q confirms material counterparty concentration, while valuation already failed the entry gate.",quantified scandium supply independent accounting reconciliation terminal-customer evidence or Q2 2026 filing
2026-07-11-leu-post-audit-trigger,LEU,2026-07-11,active_candidate,active_candidate,B+,B+,post_cycle_evidence_correction,research/process/2026-07-11-post-cycle-evidence-audit.md,research/discovery/runs/2026-07-11-full-cycle-decision.yml,evidence_freshness;valuation_entry;bull_case;bear_case;opportunity_cost_allocation;source_quality,0,pass,pass,narrow_pass_private_action_withheld,pass,pass,materially_strengthened,attractive_but_contract_sensitive,status_confirmed,capacity_title_improves_value_capture,trigger_only,nuclear fuel peers reviewed against OKLO NNE NUCL FNUC and cash,highest-ranked nonholding and preferred non-space bottleneck,"ACO title to the deployed enrichment capacity changes long-term shareholder value capture; exact unexpired action details remain private under publication policy.",action expiry next 10-Q full contract material event TENEX financing or price dislocation
2026-07-11-mda-active-candidate,MDA,2026-07-11,research_only,active_candidate,B,B+,post_cycle_material_transaction_review,research/promotion/2026-07-11-MDA-GILT-post-cycle-review.md,research/filings/2026-07-11-SUPPLEMENTAL-SUBMISSIONS-AUDIT.md,evidence_freshness;valuation_entry;bull_case;bear_case;opportunity_cost_allocation;source_quality,0,pass,pass,uncertain_until_final_capitalization,pass,fail_current_space_concentration,materially_strengthened,fair_but_transaction_sensitive,promote_to_active_candidate,displaces_future_space_additions,trigger_only,space systems peers reviewed against RKLB YSS RDW FLY VOYG and GILT,highest-quality new operating space peer but below a non-space add,"CLS and Blue Canyon broaden recurring and defense economics enough for active monitoring, while offering dilution, final capitalization, two integrations, and account space concentration block current entry.",offering close final capitalization CLS or Blue Canyon update bookings leverage margin or price dislocation
2026-07-11-gilt-active-candidate,GILT,2026-07-11,research_only,active_candidate,B-,B,post_cycle_contract_and_transaction_review,research/promotion/2026-07-11-MDA-GILT-post-cycle-review.md,research/filings/2026-07-11-SUPPLEMENTAL-SUBMISSIONS-AUDIT.md,evidence_freshness;valuation_entry;bull_case;bear_case;opportunity_cost_allocation;source_quality,0,pass,pass,pass_on_valuation_but_trigger_only_for_portfolio,pass,fail_current_space_concentration,materially_strengthened,attractive_relative_to_space_peers,promote_to_active_candidate,improves_same_lane_opportunity_cost,trigger_only,satellite ground peers reviewed against MDA KTOS RKLB GSAT and cash,lowest-valuation operating space peer but below the preferred non-space action,"Current operations, Comtech scale, and new defense orders justify promotion; acquisition execution and existing space concentration keep public entry trigger-only.",Comtech regulatory progress close combined margins cash conversion material order or price dislocation
2026-07-13-infq-research-only,INFQ,2026-07-13,research_only,research_only,B-,B-,discovery_readiness,research/discovery/readiness/2026-07-13-INFQ-readiness.md,research/discovery/runs/2026-07-13-subagent-evidence-packet.yml,evidence_freshness;valuation_entry;bull_case;bear_case;opportunity_cost_allocation;source_quality,0,pass,pass,fail_current_entry_gate,pass,fail,early_operating_proof,too_expensive,initialize_research_only,improves_quantum_lane_completeness,no_buy_until_new_evidence,quantum peers reviewed against IONQ RGTI IQMX XNDU QBTS QUBT HQ and cash,research-only comparator below cash and all buy-eligible candidates,"Real revenue and liquidity justify initial coverage, but about 45 times guided revenue, low gross margin, government concentration, burn, dilution, and technical risk block buy eligibility.",Q2 filing margin recovery RPO conversion commercial mix definitive CHIPS terms dilution technical milestone or valuation reset
2026-07-16-stdn-not-tradable-coverage,STDN,2026-07-16,not_tradable,not_tradable,B-,B-,initial_research_coverage,research/discovery/readiness/2026-07-16-STDN-readiness.md,research/discovery/readiness/2026-07-16-STDN-readiness.md,evidence_freshness;valuation_entry;bull_case;bear_case;opportunity_cost_allocation,0,pass,pass_for_research_only,fail_no_completed_market_close,pass_near_term,fail,new_research_complete,no_completed_market_close,added_not_tradable_coverage,LEU_and_cash_rank_ahead,no_buy_until_new_evidence,"LEU NNE NUCL OKLO SMR IMSR and STDN compared",direct_fuel_bottleneck_but_not_currently_tradable,"Direct TRISO exposure is material, but no final 424B4 or completed close exists and expected valuation, negative gross economics, scale-up, governance, customer, fuel, and dilution risks fail entry.","424B4, first completed regular-session close, Q2 filing, funded-backlog conversion, commissioning, gross margin, customer concentration, or dilution update"
2026-07-16-cifr-research-coverage,CIFR,2026-07-16,research_only,research_only,C+,C+,initial_research_coverage,research/discovery/readiness/2026-07-16-CIFR-readiness.md,research/discovery/readiness/2026-07-16-CIFR-readiness.md,evidence_freshness;valuation_entry;bull_case;bear_case;opportunity_cost_allocation,0,pass,pass_for_research_only,fail,uncertain_high_debt,fail,new_research_complete,too_uncertain,added_research_coverage,WULF_WYFI_NBIS_CRWV_and_cash_rank_ahead,no_buy_until_new_evidence,"WULF WYFI NBIS CRWV IREN SPCX and CIFR compared",material_contracts_but_leveraged_and_unproved_per_share_cash_flow,"Contracted hyperscaler capacity is real, but delivery, rent, free cash flow, debt, completion guarantees, bitcoin exposure, concentration, and dilution block promotion.","site delivery or rent commencement, Q2 filing, cost and DSCR update, third-lease economics, restricted-cash draw, dilution, bitcoin exposure, or free-cash-flow proof"
2026-07-16-occ-research-coverage,OCC,2026-07-16,research_only,research_only,C+,C+,initial_research_coverage,research/discovery/readiness/2026-07-16-OCC-readiness.md,research/discovery/readiness/2026-07-16-OCC-readiness.md,evidence_freshness;valuation_entry;bull_case;bear_case;opportunity_cost_allocation,0,conditional_pass,pass_for_research_only,fail,fail_thin_liquidity,fail,new_research_complete,too_uncertain,added_research_coverage,AAOI_FN_LITE_POET_and_cash_rank_ahead,no_buy_until_new_evidence,"AAOI FN LITE POET CRDO ALAB and OCC compared",small_and_cheap_but_exposure_and_survival_not_proved,"Growth, backlog, margin, and low sales multiple justify coverage, but data-center attribution, moat, cash, operating cash flow, revolver, working capital, and concentration block promotion.","quantified data-center revenue or order wins, backlog conversion, sustained gross margin, positive operating cash flow, revolver de-risking, customer concentration, or dilution"
2026-07-18-stdn-tradability-refresh,STDN,2026-07-18,not_tradable,research_only,B-,B-,external_blocker_resolution,research/discovery/readiness/2026-07-18-STDN-readiness.md,research/discovery/readiness/2026-07-18-STDN-readiness.md,evidence_freshness;valuation_entry;bull_case;bear_case;opportunity_cost_allocation;source_quality,0,pass,pass_for_research_only,fail,conditional_near_term,fail,tradability_resolved_economics_unchanged,extreme_valuation,initialize_research_only,LEU_and_cash_rank_ahead,no_buy_until_new_evidence,"LEU NNE NUCL OKLO SMR IMSR and STDN compared",direct_fuel_bottleneck_but_entry_fails,"Final prospectus and completed closes resolve tradability, but roughly 498 times TTM sales, negative gross economics, scale-up, customer, fuel, governance, and layered dilution risks block watch promotion or purchase.","Q2 filing, commissioning, repeat delivery, funded-backlog conversion, positive gross margin, customer diversification, or capitalization reset"
2026-07-18-sei-watch-promotion,SEI,2026-07-18,research_only,watch,B,B,completed_readiness_and_promotion_review,research/promotion/2026-07-18-SEI-NBIS-promotion-review.md,research/discovery/readiness/2026-07-18-SEI-readiness.md,evidence_freshness;valuation_entry;bull_case;bear_case;opportunity_cost_allocation;source_quality,0,pass,pass_for_watch,fail,conditional,fail,material_operating_proof,too_uncertain,promote_to_watch,improves_ai_power_lane_opportunity_cost,not_in_buy_zone,"VRT ETN PWR BE WULF CIFR IREN and SEI compared",best_new_research_priority_but_cash_first,"Revenue, deployed capacity and long contracts clear the monitoring threshold; customer concentration, capex, debt, project structures, dilution, acquisition integration and unproved free cash flow block active promotion and purchase.","Q2 filing, contract revenue and cash conversion, deployment milestones, capex, leverage, customer diversification, VIE economics, or valuation reset"
2026-07-18-nbis-promotion-no-change,NBIS,2026-07-18,watch,watch,B+,B+,material_financing_fast_path_review,research/promotion/2026-07-18-SEI-NBIS-promotion-review.md,research/filings/2026-07-18-NBIS-6K-000110465926084452.md,evidence_freshness;valuation_entry;bull_case;bear_case;opportunity_cost_allocation;source_quality,0,pass,pass_for_watch,fail,conditional,fail,strengthened,still_too_expensive,no_change,cash_and_conditional_operating_candidates_rank_ahead,not_in_buy_zone,"CRWV CBRS IREN SEI VRT and NBIS compared",stronger_funded_growth_but_entry_fails,"The secured facility and Q1 growth improve funding and operating proof, but customer concentration, utilization, capex, secured leverage, dilution, capitalization complexity and roughly 85 times TTM sales block promotion and purchase.","customer utilization free cash flow capitalization reconciliation or material valuation reset"
