date,total_market_value,cash,total_equity,cumulative_deposits,total_return_pct,period_return_pct,notes
2026-05-30,0.00,888.00,888.00,888.00,0.0000,,Confirmed deposit snapshot; no broker-confirmed security positions.
2026-06-05,423.84,431.77,855.61,888.00,-3.6475,-3.6475,Automated daily close valuation from Yahoo Finance chart.
2026-06-12,1168.74,518.96,1687.70,1776.00,-4.9718,97.2511,Automated daily close valuation from Yahoo Finance chart.
2026-06-15,1245.96,518.96,1764.92,1776.00,-0.6239,4.5755,Automated daily close valuation from Yahoo Finance chart.
2026-06-17,1228.11,518.96,1747.07,1776.00,-1.6289,-1.0114,Automated daily close valuation from Yahoo Finance chart.
2026-06-18,1207.14,518.96,1726.10,1776.00,-2.8097,-1.2003,Automated daily close valuation from Yahoo Finance chart.
2026-06-22,1816.10,721.31,2537.41,2664.00,-4.7519,47.0025,Automated daily close valuation from Yahoo Finance chart.
2026-06-23,1746.65,721.31,2467.96,2664.00,-7.3589,-2.7370,Automated daily close valuation from Yahoo Finance chart.
2026-06-24,1586.40,721.31,2307.71,2664.00,-13.3742,-6.4932,Automated daily close valuation from Yahoo Finance chart.
2026-06-25,1508.31,721.31,2229.62,2664.00,-16.3056,-3.3839,Automated daily close valuation from Yahoo Finance chart.
2026-06-26,1558.36,721.31,2279.67,2664.00,-14.4268,2.2448,Automated daily close valuation from Yahoo Finance chart; stale closes ASTS:2026-06-25.
2026-06-29,1881.52,721.31,2602.83,2664.00,-2.2962,14.1757,Automated daily close valuation from Yahoo Finance chart.
2026-06-30,1943.47,721.31,2664.78,2664.00,0.0293,2.3801,Automated daily close valuation from Yahoo Finance chart.
2026-07-01,1903.61,721.31,2624.92,2664.00,-1.4670,-1.4958,Automated daily close valuation from Yahoo Finance chart.
2026-07-02,1901.89,721.31,2623.20,2664.00,-1.5315,-0.0655,Automated daily close valuation from Yahoo Finance chart.
2026-07-06,1774.65,721.31,2495.96,2664.00,-6.3078,-4.8506,Automated daily close valuation from Yahoo Finance chart.
2026-07-07,1603.80,1609.31,3213.11,3552.00,-9.5408,28.7324,Automated daily close valuation from Yahoo Finance chart.
2026-07-08,2241.40,985.58,3226.98,3552.00,-9.1503,0.4317,Automated daily close valuation from Yahoo Finance chart.
2026-07-09,2216.03,985.58,3201.61,3552.00,-9.8646,-0.7862,Automated daily close valuation from Yahoo Finance chart.
