symbol,as_of,cash_runway_score,debt_maturity_score,variable_rate_exposure_score,atm_or_equity_program_score,convertible_or_preferred_overhang_score,project_finance_complexity_score,customer_concentration_score,overall_financing_fragility_score,review_source_ids,next_review_trigger,notes
RKLB,2026-06-07,2,1,1,5,1,1,2,3,rklb_atm_8k_2026_05_20,next earnings or material ATM usage,ATM capacity is the main financing risk; debt risk is lower than pre-commercial or heavily levered peers.
ASTS,2026-06-07,3,2,2,4,3,2,4,4,asts_10q_q1_2026;asts_us_mno_jv_2026_05_13,next launch/regulatory/commercial update,Pre-scale revenue and network buildout keep financing and dilution risk high.
CRDO,2026-06-07,1,1,1,1,1,1,5,2,crdo_q3_fy2026,next quarterly result or customer concentration disclosure,Financial strength is better than most watchlist names; concentration is the main fragility.
ALAB,2026-06-07,1,1,1,1,1,1,5,2,alab_q1_2026,next quarterly result or design-win update,Financing fragility is low but valuation and customer concentration remain high.
VRT,2026-06-07,1,2,2,1,1,1,2,2,vrt_q1_2026,next order/backlog/liquid-cooling update,Mature operating business; not primarily financing-window dependent.
NBIS,2026-06-07,4,5,4,4,4,4,5,4,nbis_magicbyte_eigen_2026_05_01,next 6-K or financing/customer update,Utilization financing receivables and integration risks keep fragility elevated.
MU,2026-06-07,1,2,2,1,1,1,3,2,sec_event_filing_index_2026_06_05,next earnings or HBM supply/margin update,Cyclical memory risk matters more than immediate financing fragility.
CRWV,2026-06-07,4,5,5,3,3,5,5,5,crwv_sale_cluster_2026_06_04;crwv_form4_sale_extension_2026_06_05,next earnings/customer concentration/debt update,Debt project finance customer concentration and selling overhang make this one of the most financing-sensitive names.
CRCL,2026-06-07,2,1,1,2,3,1,4,3,crcl_form_d_token_purchase_2026_05_22,next reserve/USDC/token-economics/earnings update,Token economics and rate-sensitive revenue quality matter more than debt maturity.
LITE,2026-06-07,2,4,3,3,5,2,5,4,lite_q3_fy2026_results;lite_nvidia_preferred_2026_03_02;lite_debt_exchange_2026_04_08,next debt/preferred/customer concentration update,Preferred stock convertible notes debt exchange and customer concentration create capital-structure complexity.
CBRS,2026-06-07,3,2,2,3,2,2,5,3,cbrs_ipo_2026,after at least two public quarterly reports,Recent IPO with sparse public data requires public execution evidence before financing risk can be normalized.
IREN,2026-06-07,4,5,5,4,5,5,5,5,iren_dell_gpu_purchase_2026_05_26;iren_convertible_notes_2026_05_14;iren_project_financing_2026_06_01,next AI cloud capacity/customer/financing update,Convertible notes project financing guarantees GPU commitments bitcoin exposure and customer economics all matter.
OKLO,2026-06-07,5,2,2,5,2,3,3,4,oklo_atm_2026_05_13,next NRC/licensing/customer deployment or ATM usage update,Pre-commercial status and USD 1.0 billion ATM capacity dominate financing risk.
BE,2026-06-07,3,4,3,2,2,3,3,3,be_q1_2026,next customer/order/cash-flow update,Debt service economics and service obligations require cash-conversion proof.
LEU,2026-06-07,2,3,2,2,2,2,4,3,sec_event_filing_index_2026_06_05,next DOE/HALEU/capacity update,Less extreme valuation but policy contract and scale-up dependency remain central.
GSAT,2026-06-07,3,4,3,3,2,3,5,4,sec_event_filing_index_2026_06_05,next Apple/direct-to-device/capex update,Partner concentration capex and network economics leave financing risk unresolved.
KTOS,2026-06-07,2,2,2,1,1,1,3,2,sec_event_filing_index_2026_06_05,next unmanned systems/space communications/backlog update,Contractor economics and working capital matter more than capital-market survival.
IONQ,2026-06-07,4,1,1,4,3,2,3,3,ionq_q1_2026;ionq_skywater_425_2026_05_07,next commercial revenue/system delivery or SkyWater transaction update,Burn and transaction terms matter while commercial proof remains early.
LUNR,2026-06-07,4,4,3,5,3,3,4,4,lunr_q1_2026;lunr_atm_2026_06_03,next mission/contract/acquisition integration update,Recent USD 500 million ATM and acquisition integration keep financing fragility elevated.
YSS,2026-06-07,4,3,2,3,2,3,5,4,yss_q1_2026_results;yss_solestial_acquisition_2026_05_19;yss_solestial_closing_8ka_2026_06_04,next quarterly report/backlog/customer diversification update,Newly public company with real cash but customer concentration acquisition and control risks remain.
RDW,2026-06-07,5,4,3,5,5,4,4,5,rdw_atm_2026_05_06;rdw_preferred_conversion_2026_05_20,next integration/cash-flow/internal-control or ATM usage update,ATM preferred conversion integration and internal-control risk keep research-only status.
FLY,2026-06-07,5,3,2,5,3,3,4,4,fly_q1_2026_results;fly_offering_8k_2026_06_02,next offering/selling-holder/launch or contract update,Offering close confirms dilution and selling-holder overhang.
VOYG,2026-06-07,5,5,3,4,5,4,5,5,voyg_q1_2026_results;voyg_astrobotic_acquisition_8k_2026_06_04,next Starlab funding/backlog/debt/acquisition update,Negative gross profit convertible notes Starlab funding and acquisition integration keep fragility high.
XNDU,2026-06-07,5,2,2,5,4,2,4,4,xndu_q1_2026_6k;xndu_424b3_yorkville_2026_06_01,next customer revenue/quantum milestone/Yorkville draw update,Yorkville standby equity and tiny revenue keep dilution and proof risk high.
FN,2026-06-07,1,1,1,1,1,1,5,2,fn_q3_fy2026_results;fn_10q_q3_fy2026,next customer/datacom/HPC concentration update,Financing risk is low; customer concentration and pricing power are the core issues.
ETN,2026-06-08,1,3,2,1,1,1,3,2,etn_q1_2026_10q;etn_boyd_thermal_2026_03_12,next quarterly report backlog or Boyd integration update,Profitable large-cap financing risk is moderate mainly because Boyd Thermal increased debt and integration burden; survival financing risk is low.
