symbol,as_of,rate_sensitivity,credit_sensitivity,ai_capex_sensitivity,financing_sensitivity,dilution_sensitivity,regulatory_sensitivity,commodity_or_energy_sensitivity,customer_concentration_sensitivity,primary_sensitive_lanes,macro_priority_trigger,notes
RKLB,2026-06-07,4,3,1,4,4,3,1,2,space_infrastructure,rate spike credit widening ATM usage Neutron delay or launch/defense budget shock,High-multiple space platform with execution and ATM sensitivity; macro affects entry and sizing more than mission fit.
ASTS,2026-06-07,5,4,1,5,5,5,1,4,direct_to_device_connectivity,rate spike credit widening launch/regulatory delay MNO economics or dilution,Pre-scale direct-to-device network is highly sensitive to financing windows and regulatory or carrier evidence.
CRDO,2026-06-07,4,2,5,2,2,2,1,5,semiconductor_interconnect_and_memory,AI capex slowdown customer concentration disclosure valuation reset or networking order rollover,AI interconnect quality is high but priority should move with AI capex durability and customer concentration.
ALAB,2026-06-07,5,2,5,2,2,2,1,5,semiconductor_interconnect_and_memory,AI capex slowdown design-win loss valuation reset or hyperscaler order digestion,High-quality rack-scale connectivity candidate with high valuation and hyperscaler concentration sensitivity.
VRT,2026-06-07,3,2,4,1,1,2,3,2,ai_power_and_cooling,AI data-center order slowdown liquid-cooling evidence backlog deterioration or power buildout shock,More mature infrastructure supplier; macro mainly affects order cycle and entry multiple.
NBIS,2026-06-07,5,5,5,5,4,2,4,5,ai_compute_infrastructure,credit widening AI cloud utilization weakness customer concentration financing or integration update,Neocloud candidate is highly sensitive to financing terms utilization and customer economics.
MU,2026-06-07,3,2,5,2,1,3,2,3,semiconductor_interconnect_and_memory,HBM margin update memory cycle downturn China restriction or AI capex slowdown,Memory cyclicality and HBM supply demand matter more than broad rate moves.
CRWV,2026-06-07,5,5,5,5,3,2,4,5,ai_compute_infrastructure,credit widening data-center financing stress GPU rental pressure customer concentration or selling overhang,Direct AI cloud exposure with heavy debt and customer concentration.
CRCL,2026-06-07,4,3,1,2,2,5,1,4,programmable_money_infrastructure,rate cuts reserve income pressure stablecoin regulation USDC share or token economics update,Interest rates and regulation directly affect reserve economics and common-stock monetization.
LITE,2026-06-07,5,3,5,4,5,3,2,5,semiconductor_interconnect_and_memory,AI optics order rollover NVIDIA relationship change debt exchange preferred dilution or valuation reset,AI photonics evidence is real but capital structure and customer concentration make macro sensitivity high.
CBRS,2026-06-07,5,3,5,3,3,2,1,5,ai_compute_infrastructure,post-IPO quarterly evidence AI inference order quality customer concentration or valuation reset,Recent IPO with sparse public evidence; macro mainly gates whether early enthusiasm deserves follow-up.
IREN,2026-06-07,5,5,5,5,5,2,5,5,ai_compute_infrastructure;ai_power_and_cooling,credit widening project financing covenant pressure bitcoin drawdown AI customer utilization or GPU commitment update,Power-backed AI cloud optionality is tightly linked to financing bitcoin exposure and customer economics.
OKLO,2026-06-07,5,4,2,5,5,5,5,3,advanced_nuclear_and_grid_constraints,NRC or DOE update ATM usage financing window fuel access or power demand shock,Pre-commercial advanced nuclear option is highly exposed to financing regulation and dilution.
BE,2026-06-07,4,4,3,4,2,3,5,3,ai_power_and_cooling,order quality service-cost evidence credit widening data-center power contract or subsidy/policy shift,Power bottleneck exposure requires proof of cash conversion and service economics.
LEU,2026-06-07,3,3,1,3,2,5,5,4,advanced_nuclear_and_grid_constraints,DOE HALEU policy enrichment capacity fuel supply or contract concentration update,Strategic fuel bottleneck is more policy and execution sensitive than broad AI tape sensitive.
GSAT,2026-06-07,4,4,1,4,3,5,1,5,direct_to_device_connectivity,Apple/direct-to-device update capex financing spectrum regulation or partner concentration change,Spectrum-backed peer to ASTS with unresolved partner and network economics.
KTOS,2026-06-07,2,2,1,2,1,4,1,3,space_infrastructure,defense budget program timing backlog margin or working-capital stress,Defense contractor economics limit macro beta but budget and program timing matter.
IONQ,2026-06-07,5,4,2,5,4,3,1,3,quantum_computing_and_networking,credit window commercial revenue quality SkyWater transaction dilution or quantum milestone,Option-like quantum exposure depends on long-duration capital and proof of usefulness.
LUNR,2026-06-07,5,4,1,5,5,4,1,4,space_infrastructure,mission result contract update ATM usage acquisition integration or financing stress,Space infrastructure candidate with recent ATM overhang and mission execution risk.
YSS,2026-06-07,5,4,1,4,4,4,2,5,space_infrastructure,backlog conversion material weakness customer diversification acquisition integration or defense budget shift,Newly public defense satellite manufacturer needs public execution evidence and customer diversification.
RDW,2026-06-07,5,5,1,5,5,3,1,4,space_infrastructure,ATM usage preferred conversion integration internal control or cash-flow update,Research-only roll-up where dilution and control complexity dominate macro handling.
FLY,2026-06-07,5,5,1,5,5,4,1,4,space_infrastructure,offering or selling-holder update launch cadence contract evidence or price dislocation,Newly public launch/spacecraft company remains research-only due valuation losses and dilution overhang.
VOYG,2026-06-07,5,5,1,5,4,4,1,5,space_infrastructure,Starlab funding Astrobotic integration backlog conversion debt or customer concentration update,Research-only space-station and defense-space candidate with margin debt and integration risk.
XNDU,2026-06-07,5,4,2,5,5,3,1,4,quantum_computing_and_networking,Yorkville draw customer revenue quality quantum milestone government funding or equity issuance,Photonic quantum option has tiny revenue and high dilution sensitivity.
FN,2026-06-07,3,2,5,1,1,2,2,5,semiconductor_interconnect_and_memory,AI optical manufacturing demand customer concentration datacom cycle or margin evidence,Contract manufacturing economics cap pricing power despite real AI optical exposure.
ETN,2026-06-08,3,3,4,2,1,2,3,3,ai_power_and_cooling,data-center orders Boyd integration electrical backlog margin pressure or valuation reset,Large-cap grid-to-chip power and cooling monitor; macro matters through AI capex electrical backlog commodity inflation and acquisition integration rather than survival financing.
